ahl,atc,mean sfgfp,cv sfgfp,mean mcherry,cv mcherry
0.022466826,0.158740105,391.2618815,0.794529792,535.4130078,1.000244789
0.026498148,0.158740105,455.8383125,0.781727937,598.3445677,0.972430749
0.031252829,0.158740105,436.3435696,0.771447637,551.9875815,0.996906832
0.036860663,0.158740105,462.0408215,0.771027294,576.1528201,1.043128328
0.043474736,0.158740105,453.5319982,0.906014879,563.2094879,0.993302056
0.051275601,0.158740105,577.0133181,2.15042798,581.0465352,1.008725523
0.06047621,0.158740105,977.8884867,2.148917186,391.0141429,1.342237946
0.071327726,0.158740105,1766.927816,1.759324717,372.3663359,1.461508176
0.084126377,0.158740105,3321.377703,1.315868002,278.6453699,1.860194181
0.099221547,0.158740105,4088.965205,1.09682861,164.0734374,2.391084524
0.117025311,0.158740105,4753.40584,0.930661369,124.1285063,2.840709085
0.138023683,0.158740105,7104.293721,0.790201063,88.17241467,3.390909972
0.162789886,0.158740105,6073.448087,0.741354724,87.77612874,3.405423472
0.192,0.158740105,6697.259756,0.684041121,51.24277684,4.145996508
0.226451414,0.158740105,6584.570898,0.72562626,75.89535204,3.882170937
0.267084599,0.158740105,6918.707183,0.745444097,103.1020201,3.138489133
0.315008777,0.158740105,6840.699656,0.731113686,64.03673521,3.988580801
0,0.211892619,535.3758759,0.69443729,520.6171516,0.991077381
0.007076607,0.211892619,504.2291376,0.731970956,475.5339044,1.054563719
0.008346394,0.211892619,519.1213216,0.751487002,452.0924297,1.061058217
0.009844024,0.211892619,521.447378,0.734903114,447.3110825,1.079917532
0.011610381,0.211892619,503.0104984,0.737920263,422.1541381,1.111791234
0.013693684,0.211892619,526.3680812,0.716927452,438.3357293,1.107248043
0.016150802,0.211892619,499.9186459,0.743615611,459.557367,1.045297871
0.019048813,0.211892619,488.1878134,0.76412556,467.1591905,1.05336717
0.022466826,0.211892619,517.4936946,0.742331273,453.9384593,1.083701809
0.026498148,0.211892619,541.1102379,0.758069577,441.0120804,1.092674399
0.031252829,0.211892619,492.1592415,0.741233693,408.1447396,1.180266048
0.036860663,0.211892619,508.2779684,0.735010769,441.0928251,1.121033767
0.043474736,0.211892619,532.2786527,1.127448556,420.5143146,1.155738636
0.051275601,0.211892619,534.6030195,0.809998452,482.5752231,1.074751267
0.06047621,0.211892619,841.6527965,2.010364234,370.9755272,1.256876787
0.071327726,0.211892619,1702.942465,1.862049634,293.8019776,1.506238444
0.084126377,0.211892619,3474.532064,1.505473769,234.7749282,1.956370296
0.099221547,0.211892619,4220.484958,1.067428643,176.3775163,2.460367296
0.117025311,0.211892619,5034.402784,0.96280709,133.199798,2.869677617
0.138023683,0.211892619,6107.353802,0.876819081,137.129819,3.081480897
0.162789886,0.211892619,6450.734267,0.728661638,94.01015403,3.62311249
0.192,0.211892619,6091.343721,0.715931762,79.51653765,3.495632734
0.226451414,0.211892619,7790.929177,0.73955249,52.56921439,4.556409903
0.267084599,0.211892619,8325.715374,0.715091679,77.34320046,3.648879961
0.315008777,0.211892619,7131.152994,0.704656267,42.88627791,4.089563743
0,0.282842712,573.0342307,0.695353392,303.0600571,1.262671796
0.007076607,0.282842712,647.672064,0.648183453,330.9601716,1.270500972
0.008346394,0.282842712,608.9472382,0.708518981,311.6890451,1.298094891
0.009844024,0.282842712,610.3895074,0.722093486,319.3038211,1.383491095
0.011610381,0.282842712,638.2983592,0.69070214,320.8899104,1.266876451
0.013693684,0.282842712,686.0527777,0.665638221,333.697726,1.324619089
0.016150802,0.282842712,581.4490814,0.736045824,310.2074386,1.291174305
0.019048813,0.282842712,593.1029671,0.712695014,334.4281026,1.213450135
0.022466826,0.282842712,600.6957532,0.661688641,312.4344777,1.165611171
0.026498148,0.282842712,601.5174723,0.685689884,296.4271493,1.315349538
0.031252829,0.282842712,592.987083,0.696213948,297.2950951,1.238780959
0.036860663,0.282842712,613.8097935,0.683460096,313.514736,1.284439726
0.043474736,0.282842712,610.7227171,0.708157433,327.971134,1.408462782
0.051275601,0.282842712,613.9656711,0.990923555,313.5709119,1.340755022
0.06047621,0.282842712,1355.027503,1.862023065,224.1433614,1.763422253
0.071327726,0.282842712,1878.00501,1.651541006,250.8550503,1.716385665
0.084126377,0.282842712,2997.379868,1.321028485,159.0706238,2.165042229
0.099221547,0.282842712,4214.695734,1.042954817,125.1318,2.565154862
0.117025311,0.282842712,5743.685927,0.91231706,112.5775759,3.364920972
0.138023683,0.282842712,6111.747114,0.839733231,97.48258601,3.751424332
0.162789886,0.282842712,6939.586094,0.693949684,76.92179043,3.500265694
0.192,0.282842712,7059.251143,0.691931795,42.76122385,3.819052636
0.226451414,0.282842712,7127.593828,0.68824228,48.25338817,4.001592266
0.267084599,0.282842712,6864.227027,0.660203197,63.92168848,3.519108595
0.315008777,0.282842712,7157.61525,0.727664497,64.78791873,3.541436144
0,0,212.4744571,0.945541053,1068.50209,0.810776131
0,0.066741993,193.5247679,1.018237085,1179.026395,0.858639751
0,0.089089872,220.6983502,0.956213841,1213.913422,0.814186564
0,0.118920712,216.2704181,0.984807142,1275.850956,0.801818916
0,0.158740105,231.8135848,0.902472428,1134.792613,0.862839823
0,0.211892619,276.9459778,0.888894174,1214.318898,0.82447448
0,0.282842712,283.4717877,0.897028539,1040.136554,0.901694401
0,0.377549725,403.1443481,0.778388365,875.6217734,0.87013187
0,0.50396842,443.146243,0.801785487,686.8553073,1.002380489
