ahl,atc,mean,cv,variant,strain,date,file
0,3.234052429,45.60855359,1.378306991,331_cole1,mg1655,171010,83
0,4.316942073,52.81937935,1.268852164,331_cole1,mg1655,171010,84
0,5.762426327,83.44450918,1.245676829,331_cole1,mg1655,171010,85
0,7.691916317,321.5900859,0.930165048,331_cole1,mg1655,171010,86
0,10.26747646,818.5382366,0.637300844,331_cole1,mg1655,171010,87
0,13.70543677,1679.475683,0.496205142,331_cole1,mg1655,171010,88
0,18.29456323,3336.431125,0.34575131,331_cole1,mg1655,171010,89
0,24.42031211,4321.865773,0.305801836,331_cole1,mg1655,171010,90
0,32.59720585,6965.893382,0.226099114,331_cole1,mg1655,171010,91
0,43.51204951,7918.535792,0.221992366,331_cole1,mg1655,171010,92
0,58.08161782,9038.342817,0.222469631,331_cole1,mg1655,171010,93
0,77.52965826,9633.156799,0.238841112,331_cole1,mg1655,171010,94
0,103.4896777,10357.16599,0.247749191,331_cole1,mg1655,171010,95
0,138.1421463,10608.95307,0.25036381,331_cole1,mg1655,171010,96
0,184.3976425,11438.58793,0.26777389,331_cole1,mg1655,171010,97
0,246.1413222,12005.22111,0.271401869,331_cole1,mg1655,171010,98
0,328.5592466,12569.80901,0.285000357,331_cole1,mg1655,171010,99
0,438.5739768,13020.42064,0.282651375,331_cole1,mg1655,171010,100
0,0,37.84663295,1.56242009,331_cole1,mg1655,171012,76
0,0.667419927,36.25519208,1.640865064,331_cole1,mg1655,171012,77
0,0.890898718,41.34063316,1.473685429,331_cole1,mg1655,171012,78
0,1.189207115,41.3332556,1.52752931,331_cole1,mg1655,171012,79
0,1.587401052,41.05659264,1.379887058,331_cole1,mg1655,171012,80
0,2.118926189,42.69376711,1.460251486,331_cole1,mg1655,171012,81
0,2.828427125,42.05659367,1.457873376,331_cole1,mg1655,171012,82
0,3.775497251,52.90810999,1.325377384,331_cole1,mg1655,171012,83
0,5.0396842,64.72143649,1.252158607,331_cole1,mg1655,171012,84
0,6.727171322,115.8724466,1.190726066,331_cole1,mg1655,171012,85
0,8.979696386,358.3599518,0.907546335,331_cole1,mg1655,171012,86
0,11.98645662,747.1960997,0.667970752,331_cole1,mg1655,171012,87
0,16,1708.68005,0.495483346,331_cole1,mg1655,171012,88
0,21.35743767,3779.494888,0.331926546,331_cole1,mg1655,171012,89
0,28.50875898,4433.248337,0.294782611,331_cole1,mg1655,171012,90
0,38.05462768,6801.959968,0.217723944,331_cole1,mg1655,171012,91
0,50.79683366,7610.749731,0.217147683,331_cole1,mg1655,171012,92
0,67.80563804,8504.813937,0.225304936,331_cole1,mg1655,171012,93
0,90.50966799,9409.333185,0.231089254,331_cole1,mg1655,171012,94
0,120.815912,9916.275413,0.248341387,331_cole1,mg1655,171012,95
0,161.2698944,10637.72337,0.262660345,331_cole1,mg1655,171012,96
0,215.2694823,11163.85348,0.271349693,331_cole1,mg1655,171012,97
0,287.3502844,11558.31087,0.264906322,331_cole1,mg1655,171012,98
0,383.5666117,12253.83788,0.276467942,331_cole1,mg1655,171012,99
0,512,13111.86192,0.292492045,331_cole1,mg1655,171012,100
0,0,43.79009176,1.395457619,347a,mg1655,171010,1
4.51E-05,0,42.99795034,1.396311003,347a,mg1655,171010,2
5.89E-05,0,43.39255485,1.501396359,347a,mg1655,171010,3
7.69E-05,0,53.06114342,1.344139604,347a,mg1655,171010,4
0.000100457,0,43.95293658,1.401547889,347a,mg1655,171010,5
0.000131148,0,56.47377363,1.335288082,347a,mg1655,171010,6
0.000171216,0,54.24885471,1.345893548,347a,mg1655,171010,7
0.000223524,0,57.79819463,1.227457424,347a,mg1655,171010,8
0.000291813,0,64.50220079,1.234763049,347a,mg1655,171010,9
0.000380965,0,76.67025228,1.143147705,347a,mg1655,171010,10
0.000497355,0,133.997519,1.098272666,347a,mg1655,171010,11
0.000649302,0,1023.606227,0.705517949,347a,mg1655,171010,12
0.000847672,0,957.0957985,0.713272583,347a,mg1655,171010,13
0.001106646,0,3628.187189,0.441200915,347a,mg1655,171010,14
0.001444739,0,7443.358055,0.366415785,347a,mg1655,171010,15
0.001886123,0,11076.80311,0.365650724,347a,mg1655,171010,16
0.002462356,0,14335.29016,0.383332425,347a,mg1655,171010,17
0.003214635,0,17209.41225,0.407172061,347a,mg1655,171010,18
0.004196743,0,19449.50609,0.436567245,347a,mg1655,171010,19
0.005478897,0,21317.16133,0.448014682,347a,mg1655,171010,20
0.007152765,0,22200.24974,0.441106583,347a,mg1655,171010,21
0.009338018,0,22111.89001,0.45581947,347a,mg1655,171010,22
0.012190892,0,22674.74404,0.453145036,347a,mg1655,171010,23
0.015915352,0,21188.75778,0.463870174,347a,mg1655,171010,24
0.020777678,0,21895.73808,0.466413951,347a,mg1655,171010,25
0,0,55.5663581,1.300810005,347a,mg1655,171012,1
3.92E-05,0,55.63212474,1.279004846,347a,mg1655,171012,2
5.11E-05,0,54.63005787,1.332798382,347a,mg1655,171012,3
6.68E-05,0,56.95867103,1.262710828,347a,mg1655,171012,4
8.71E-05,0,57.54000147,1.288105935,347a,mg1655,171012,5
0.000113769,0,57.67430689,1.263877631,347a,mg1655,171012,6
0.000148527,0,62.29687233,1.214036048,347a,mg1655,171012,7
0.000193904,0,58.74188238,1.278916761,347a,mg1655,171012,8
0.000253144,0,64.42482028,1.223778268,347a,mg1655,171012,9
0.000330482,0,73.48111656,1.147083117,347a,mg1655,171012,10
