"","atc","ahl","mean","sd","conv_mean","conv_mean_comp","conv_sd","conv_sd_comp","c_B"
"81",0.118920712,0.000832368,222.804442048769,117.114893536749,432.109042273663,226.280853598797,160.338823295174,54.0201861099637,0.732056691980657
"82",0.118920712,0.00092169,227.110293688358,124.682007791226,430.364473898314,224.536285223447,157.700550411009,51.3819132257982,0.74655775408128
"83",0.118920712,0.001020596,240.430749348615,135.930309564251,443.107321801649,237.279133126782,172.786774431723,66.4681372465121,0.768687315224859
"84",0.118920712,0.001130116,249.671136346658,161.035975998685,465.111946123832,259.283757448966,202.67538640642,96.3567492212096,0.762652867271676
"85",0.118920712,0.001251388,260.876722213227,176.120314514876,476.66536911849,270.837180443624,229.165784458984,122.847147273774,0.781683268950847
"86",0.118920712,0.001385674,300.906520031251,301.805849939522,508.985776384702,303.157587709836,339.873569016711,233.5549318315,0.805306531143591
"87",0.118920712,0.001534371,363.055226061759,504.758704182142,607.330947340033,401.502758665166,687.211973690902,580.893336505691,0.817069448327418
"88",0.118920712,0.001699024,511.469204321759,1007.11878357204,691.526495855646,485.69830718078,864.685353900203,758.366716714993,0.848196270828678
"89",0.118920712,0.001881345,1176.97902655791,2197.14929330934,2108.45959303358,1902.63140435872,3069.31145144472,2962.99281425951,0.894837436842528
"90",0.118920712,0.002083232,1856.22250974761,2878.27531781034,3759.67993585926,3553.85174718439,4191.80231808009,4085.48368089488,0.899027891603964
"91",0.118920712,0.002306783,3202.75960752681,3724.38375746622,4019.14822187242,3813.32003319755,4159.93340087694,4053.61476369173,0.959441211060843
"92",0.118920712,0.002554323,5315.32002884085,4821.23836155873,6846.72547797827,6640.89728930341,5183.39599766706,5077.07736048185,0.974070298543374
"93",0.118920712,0.002828427,7171.15554989974,5365.93918903096,8061.24197354007,7855.4137848652,5558.02640108958,5451.70776390437,0.98859711912941
"94",0.118920712,0.003131945,9484.00509015311,5961.34428273201,10057.3639316188,9851.53574294396,5911.48423744372,5805.16560025851,0.996375295459006
"95",0.118920712,0.003468033,10132.2658273583,5408.29921702227,11085.4356282521,10879.6074395772,5799.66498907994,5693.34635189473,0.993390300308467
"96",0.118920712,0.003840187,11500.8860547108,6145.68954212047,12901.3137600098,12695.4855713349,7028.59630016156,6922.27766297635,0.991081532647865
"97",0.118920712,0.004252276,12949.0394326726,6913.59855727252,13538.9602465813,13333.1320579065,7073.27637278082,6966.95773559561,0.996073148614454
"98",0.118920712,0.004708587,13667.5861786491,7094.24461881679,14028.5057479988,13822.6775593239,7113.12824353465,7006.80960634944,0.996072812792229
"99",0.118920712,0.01,14263.4081463693,7152.58320103494,15032.0350191309,14826.206830456,7672.04503095625,7565.72639377104,0.996119091748745
"100",0.118920712,0.05,15088.3164711769,7605.37644391805,15123.2841185896,14917.4559299147,7569.49050882435,7463.17187163914,0.997490086967081
"101",0.158740105,0,206.545882318549,105.108534817756,412.587990234834,206.759801559968,150.324959686148,44.0063225009373,0.713543402202067
"102",0.158740105,0.000553655,210.264816784852,106.897815234937,424.302386420287,218.474197745421,152.595627298333,46.276990113122,0.701104207174126
"103",0.158740105,0.000613067,209.267823895683,109.265541654934,428.156688459252,222.328499784386,157.680442967861,51.3618057826504,0.701124346373398
"104",0.158740105,0.000678856,208.932062692188,106.592877784514,421.517601909127,215.68941323426,153.009404154751,46.6907669695402,0.705943092602398
"105",0.158740105,0.000751703,212.947683707181,110.680183786799,427.446135094383,221.617946419516,155.857214920974,49.5385777357635,0.712029917123924
"106",0.158740105,0.000832368,217.190105744937,113.974900173763,434.260537650462,228.432348975595,162.497747818324,56.179110633113,0.717642874642669
"107",0.158740105,0.00092169,217.204485698144,114.247774501046,432.302258032104,226.474069357237,158.231190268941,51.9125530837303,0.714723874466672
"108",0.158740105,0.001020596,233.551265890749,151.644915800192,445.913353849975,240.085165175108,175.033581761583,68.7149445763729,0.740616468810548
"109",0.158740105,0.001130116,244.417975056906,163.755155549045,465.242247744756,259.41405906989,200.875491864124,94.5568546789132,0.746811611016644
"110",0.158740105,0.001251388,285.624862760452,276.625869043104,480.388563529236,274.56037485437,229.334440736035,123.015803550825,0.791896657497163
"111",0.158740105,0.001385674,270.391606627028,234.541802589838,510.898222834387,305.07003415952,346.596212405462,240.277575220252,0.771022360033682
"112",0.158740105,0.001534371,453.586426386669,866.143769901363,607.391704357887,401.563515683021,666.832265806023,560.513628620812,0.834198334178436
"113",0.158740105,0.001699024,531.889504875157,1011.54549771874,706.902309745626,501.074121070759,912.672348887977,806.353711702767,0.839519594882273
"114",0.158740105,0.001881345,2386.29783899807,3341.36394893212,2097.56900859651,1891.74081992164,3017.96133655858,2911.64269937337,0.941881410845597
"115",0.158740105,0.002083232,3072.39651890934,3786.33238601369,3748.20946163496,3542.3812729601,4136.66545015092,4030.34681296571,0.960023238846654
