ahl,atc,mean,median,cv,variant,strain,date,file,note
8.67E-04,2.135743767,332.7887061,449.6596086,0.600533008,331/347d,mg1655,170725,102,
9.40E-04,2.135743767,338.6298671,453.9241917,0.587289573,331/347d,mg1655,170725,103,
1.02E-03,2.135743767,341.644139,462.5750778,0.588677834,331/347d,mg1655,170725,104,
1.10E-03,2.135743767,338.2124316,453.9241917,0.591849604,331/347d,mg1655,170725,105,
0.001197037,2.135743767,345.0381935,462.5750778,0.596713855,331/347d,mg1655,170725,106,
0.001297511,2.135743767,359.0566658,475.861515,0.579239646,331/347d,mg1655,170725,107,
0.001406418,2.135743767,346.5080959,462.5750778,0.592121489,331/347d,mg1655,170725,108,
0.001524467,2.135743767,364.6947748,480.3745977,0.597491122,331/347d,mg1655,170725,109,
0.001652424,2.135743767,386.4795663,498.8590289,0.599757907,331/347d,mg1655,170725,110,
0.001791121,2.135743767,408.5955989,513.1876417,0.639892512,331/347d,mg1655,170725,111,
0.00194146,2.135743767,471.1654987,543.0913607,0.868652012,331/347d,mg1655,170725,112,
0.002104417,2.135743767,650.7077161,602.5135983,1.326033826,331/347d,mg1655,170725,113,
0.002281053,2.135743767,969.3726725,662.1575894,1.666245169,331/347d,mg1655,170725,114,
0.002472514,2.135743767,1688.521916,887.2465843,1.416653703,331/347d,mg1655,170725,115,
0.002680046,2.135743767,2465.70198,1258.125648,1.248487518,331/347d,mg1655,170725,116,
0.002904998,2.135743767,5525.787874,4898.294942,0.831924128,331/347d,mg1655,170725,117,
0.00314883,2.135743767,7394.536846,6625.632716,0.695777812,331/347d,mg1655,170725,118,
0.00341313,2.135743767,9007.938836,8154.836823,0.563121807,331/347d,mg1655,170725,119,
0.003699613,2.135743767,10104.13463,9132.899634,0.520199954,331/347d,mg1655,170725,120,
0.004010142,2.135743767,11468.06792,10228.2679,0.505240411,331/347d,mg1655,170725,121,
0.004346736,2.135743767,12748.05948,11347.39188,0.48710831,331/347d,mg1655,170725,122,
0.004711582,2.135743767,13333.09048,11895.79051,0.497584059,331/347d,mg1655,170725,123,
0.005107051,2.135743767,13452.05534,12122.50046,0.457882219,331/347d,mg1655,170725,124,
0.005535715,2.135743767,14294.73512,12828.88506,0.448820841,331/347d,mg1655,170725,125,
0,5.079683366,1002.163859,1123.390136,0.326066535,331/347d,mg1655,170725,126,
8.67E-04,5.079683366,1014.221959,1134.044397,0.329223211,331/347d,mg1655,170725,127,
9.40E-04,5.079683366,1006.587992,1123.390136,0.324970874,331/347d,mg1655,170725,128,
1.02E-03,5.079683366,1030.248344,1144.799702,0.321566831,331/347d,mg1655,170725,129,
1.10E-03,5.079683366,1032.46168,1155.657012,0.319498856,331/347d,mg1655,170725,130,
0.001197037,5.079683366,1040.021293,1166.617292,0.322429286,331/347d,mg1655,170725,131,
0.001297511,5.079683366,1046.975018,1166.617292,0.332741131,331/347d,mg1655,170725,132,
0.001406418,5.079683366,1032.086941,1155.657012,0.318484448,331/347d,mg1655,170725,133,
0.001524467,5.079683366,1065.186919,1177.68152,0.316229258,331/347d,mg1655,170725,134,
0.001652424,5.079683366,1074.074738,1188.850681,0.338180239,331/347d,mg1655,170725,135,
0.001791121,5.079683366,1107.278985,1211.507795,0.350837267,331/347d,mg1655,170725,136,
0.00194146,5.079683366,1165.090382,1222.997765,0.46580621,331/347d,mg1655,170725,137,
0.002104417,5.079683366,1370.054426,1294.262501,0.768254498,331/347d,mg1655,170725,138,
0.002281053,5.079683366,1733.385897,1369.67987,1.020699857,331/347d,mg1655,170725,139,
0.002472514,5.079683366,2360.620933,1578.013939,1.09422236,331/347d,mg1655,170725,140,
0.002680046,5.079683366,3938.531344,2553.776147,0.976234926,331/347d,mg1655,170725,141,
0.002904998,5.079683366,6372.147081,5643.346205,0.748551721,331/347d,mg1655,170725,142,
0.00314883,5.079683366,8161.931108,7281.516964,0.660689819,331/347d,mg1655,170725,143,
0.00341313,5.079683366,10494.59631,9484.326324,0.545256845,331/347d,mg1655,170725,144,
0.003699613,5.079683366,12005.95133,10722.58132,0.505447683,331/347d,mg1655,170725,145,
0.004010142,5.079683366,13335.84229,11784.03047,0.509034853,331/347d,mg1655,170725,146,
0.004346736,5.079683366,14384.45137,12828.88506,0.48946095,331/347d,mg1655,170725,147,
0.004711582,5.079683366,14954.93455,13073.37791,0.503294723,331/347d,mg1655,170725,148,
0.005107051,5.079683366,15945.77214,14367.53698,0.454500984,331/347d,mg1655,170725,149,
0.005535715,5.079683366,16351.33636,14641.35346,0.455366815,331/347d,mg1655,170725,150,
0,12.0815912,1902.039326,1960.641558,0.298529699,331/347d,mg1655,170725,151,
8.67E-04,12.0815912,1961.371559,2016.956613,0.300641358,331/347d,mg1655,170725,152,
9.40E-04,12.0815912,1999.144866,2036.085481,0.303980607,331/347d,mg1655,170725,153,
